Militaire eenheid,2024-09-4
1307-й мотострілецький полк /// 1307th Motor Rifle Regiment ,"48.545787, 37.9633692"
Добровольчий штурмовий корпус /// Volunteer assault corps ,"48.6363874, 37.9552289"
51-й мотострілецький полк/// 51st motorized rifle regiment ,"48.7874535, 38.2793011"
119-й мотострілецький полк /// 119th motorized rifle regiment ,"48.7530596, 38.2398176"
119-й парашутно-десантний полк /// 119th Guards Airborne Regiment ,"48.7314158, 38.1362271"
1008-й мотострілецький полк територіальних військ /// 1008st motorized rifle regiment of territorial troops ,"48.5410005, 37.9922644"
1194-й мотострілецький полк територіальних військ /// 1194st motorized rifle regiment of territorial troops ,"48.5056416, 38.019902"
1442 мотострілецький полк (в/ч 95383)///1442 motorized rifle regiment (military unit 95383)  ,"48.5278727, 37.9999199"
299-й парашутно-десантний полк (в/ч 62295) зі складу 98-ї ПДД /// 299th Airborne Regiment from the 98th Airborne Division ,"48.6272543, 37.9192657"
"7-а дршбр ""святой георгій"" /// 7st Air Assault Brigade ""saint heorhiy""","48.6077232, 37.9087719"
88-га окрема мотострілецька бригада /// 88th separate motorized rifle brigade ,"48.5047843, 37.9892485"
80-й танковий полк /// 80th Guards Tank Red Banner Regiment ,"48.1494135, 37.5323875"
7-ма військова база (Абхазія) ////7th Military Base (Abkhazia) ,"48.5184652, 37.9952848"
85-та окрема мотострілецька бригада /// 85th separate motorized rifle brigade ,"48.5255173, 37.9857196"
6-й танковий полк /// 6th Tank Regiment ,"48.1716348, 37.4853592"
74-та окрема мотострілецька бригада (в/ч 21005) /// 74th Separate Guards Motor Rifle Brigade ,"48.2519696, 37.6239598"
35-та окрема мотострілецька бригада (в/ч 41659) /// 35th Separate Guards Motor Rifle Brigade ,"48.2616827, 37.4702589"
239-й танковий полк (зі складу 90 тд)///239th tank regiment (from the composition of 90 TD) ,"48.1945263, 37.4867321"
30-та окрема мотострілецька бригада /// 30th separate motorized rifle brigade ,"48.2737539, 37.5036724"
155-та бригада морської піхоти (в/ч 30926) /// 155th Separate Brigade of Marines ,"50.853289, 35.5737233"
27 мотострілецька дивізія (колишня 21 омсбр) /// 27th Motor Rifle Division (formerly the 21th Brigade) ,"48.1950055, 37.6573903"
55-та окрема мотострілецька бригада (в/ч 55115) /// 55th Mountain Motor Rifle Brigade ,"48.237941, 37.474372"
15-та окрема мотострілецька бригада /// 15th Separate Motor Rifle Brigade ,"48.2054911, 37.4216276"
150-та мотострілецька дивізія (в/ч 22265) /// 150th Motorized Rifle Division ,"47.9406426, 37.5414393"
238-ма артилерійська бригада /// 238th Artillery Brigade  ,"47.9995337, 37.5805846"
33-й гвардійський мотострілецький полк /// 33rd Guards Motorized Rifle Regiment ,"47.8655806, 37.5464399"
255-й гвардійський мотострілецький полк /// 255th Guards Motorized Rifle Regiment ,"47.9332599, 37.4667068"
Окремий штурмовий батальйон «Сомалі» /// Somalia Battalion  ,"48.0985004, 37.677701"
Окремий штурмовий батальйон «П'ятнашка» /// Piatnashka Battalion ,"51.1422544, 36.3175508"
"1-ша окрема мотострілецька «Слов'янська» бригада (в/ч 08801) /// 1st separate motorized rifle ""Sloviansk"" brigade  ","48.1495762, 37.5702561"
2-й батальйон територіальної оборони ДНР /// 2nd battalion of territorial defense of the DPR ,"48.0365073, 37.5962037"
9-та окрема мотострілецька бригада ///9th separate motorized rifle brigade  ,"48.1116361, 37.529941"
