Militaire eenheid,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,Gemiddelde beweging (km)
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.6790228, 37.939907","46.7220121, 33.2306913","48.0464243, 37.7984469",,,,,394.94637766124947
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.0464243, 37.7984469","46.7220121, 33.2306913","48.6790228, 37.939907",,,,,394.94637766124947
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913",389.87575448729785
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329",389.8757544872978
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.977954, 38.2121567","46.7220121, 33.2306913","47.7348026, 37.2737004",,,,,387.6897027443298
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913",,,,,374.9452093317158
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","46.7220121, 33.2306913","48.0464243, 37.7984469",,,,,374.9452093317158
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","48.0464243, 37.7984469","48.0464243, 37.7984469","46.7220121, 33.2306913",374.9452093317158
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","48.0464243, 37.7984469","48.0464243, 37.7984469","48.0464243, 37.7984469",374.9452093317158
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.0464243, 37.7984469","48.0464243, 37.7984469","46.7220121, 33.2306913",,,,,374.9452093317158
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","46.7220121, 33.2306913",374.9452093317158
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","46.7220121, 33.2306913","46.7220121, 33.2306913","48.0464243, 37.7984469",374.9452093317158
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","46.7220121, 33.2306913","48.0464243, 37.7984469","48.0464243, 37.7984469",374.9452093317158
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","48.0464243, 37.7984469","48.0464243, 37.7984469",374.9452093317158
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","46.7220121, 33.2306913","48.0464243, 37.7984469",374.9452093317158
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913",374.9452093317158
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","46.7220121, 33.2306913","46.7220121, 33.2306913",374.9452093317158
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","48.0464243, 37.7984469","48.0464243, 37.7984469","46.7220121, 33.2306913",374.9452093317158
