Militaire eenheid,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,Gemiddelde beweging (km)
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","48.705179, 37.9922329","47.7043447, 36.6784228","48.705179, 37.9922329",148.05374946378998
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","47.7043447, 36.6784228",148.05374946378998
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","47.7043447, 36.6784228","48.705179, 37.9922329","48.705179, 37.9922329",148.05374946378998
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.705179, 37.9922329","47.7043447, 36.6784228","48.6790228, 37.939907",,,,,145.68776318962625
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.6790228, 37.939907","47.7043447, 36.6784228","48.705179, 37.9922329",,,,,145.68776318962625
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7043447, 36.6784228","47.7043447, 36.6784228","48.6790228, 37.939907",,,,,143.32177691546255
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.6790228, 37.939907","47.7043447, 36.6784228","48.6790228, 37.939907",,,,,143.32177691546255
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7043447, 36.6784228","48.6790228, 37.939907","48.6790228, 37.939907",,,,,143.32177691546255
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.6790228, 37.939907","48.6790228, 37.939907","47.7043447, 36.6784228",,,,,143.32177691546255
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.6790228, 37.939907","47.7043447, 36.6784228","47.7043447, 36.6784228",,,,,143.32177691546255
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7043447, 36.6784228","48.6790228, 37.939907","47.7043447, 36.6784228",,,,,143.32177691546255
488-й мотострілецький полк (зі складу 144 мсд) /// 488th Motor Rifle Regiment (from the composition of 144 MRD) ,,,,"49.0822349, 38.0689108","49.0822349, 38.0689108","49.240731, 38.0634144","51.0782083, 35.7276991",140.74044914602172
205-а окрема мотострілецька бригада /// 205th Separate Motorized Rifle Brigade ,,,,"45.7192186, 34.4189496","46.7377392, 33.3913018","46.7377392, 33.3913018","46.7377392, 33.3913018",138.20821767214522
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.977954, 38.2121567","47.7348026, 37.2737004","48.705179, 37.9922329",,,,,137.56418307513232
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.977954, 38.2121567","47.7043447, 36.6784228","48.0464243, 37.7984469",,,,,136.80913206496112
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.977954, 38.2121567","47.7348026, 37.2737004","48.6790228, 37.939907",,,,,135.41166855515868
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7348026, 37.2737004","48.705179, 37.9922329","47.7043447, 36.6784228",,,,,134.22019428578082
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7043447, 36.6784228","48.705179, 37.9922329","47.7348026, 37.2737004",,,,,134.22019428578082
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7043447, 36.6784228","48.6790228, 37.939907","47.7348026, 37.2737004",,,,,129.70169349164348
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7348026, 37.2737004","48.6790228, 37.939907","47.7043447, 36.6784228",,,,,129.70169349164348
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","47.7043447, 36.6784228","48.705179, 37.9922329","47.7043447, 36.6784228",129.37294814796743
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","48.705179, 37.9922329","47.7043447, 36.6784228","48.0464243, 37.7984469",129.37294814796743
57-ма окрема мотострілецька бригада /// 57th separate motorized rifle brigade,"48.4794786, 38.0617951","48.4794786, 38.0617951","47.6369549, 36.9405915",,,,,125.54061969131696
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","48.705179, 37.9922329","47.7043447, 36.6784228","48.705179, 37.9922329",123.58429463541331
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","47.7043447, 36.6784228","48.705179, 37.9922329","48.0464243, 37.7984469",123.58429463541331
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.705179, 37.9922329","48.705179, 37.9922329","47.7348026, 37.2737004",,,,,120.38663910777166
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.705179, 37.9922329","47.7348026, 37.2737004","47.7348026, 37.2737004",,,,,120.38663910777166
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7348026, 37.2737004","47.7348026, 37.2737004","48.705179, 37.9922329",,,,,120.38663910777166
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7348026, 37.2737004","48.705179, 37.9922329","47.7348026, 37.2737004",,,,,120.38663910777166
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7348026, 37.2737004","48.705179, 37.9922329","48.705179, 37.9922329",,,,,120.38663910777166
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.705179, 37.9922329","47.7348026, 37.2737004","48.705179, 37.9922329",,,,,120.38663910777166
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","47.7043447, 36.6784228","47.7043447, 36.6784228","48.0464243, 37.7984469",120.03254749005613
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","47.7043447, 36.6784228","48.0464243, 37.7984469","48.0464243, 37.7984469",120.03254749005613
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","48.0464243, 37.7984469","47.7043447, 36.6784228","48.705179, 37.9922329",120.03254749005613
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","48.705179, 37.9922329","47.7043447, 36.6784228","48.0464243, 37.7984469",120.03254749005613
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","47.7043447, 36.6784228","48.705179, 37.9922329","48.705179, 37.9922329",120.03254749005613
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.0464243, 37.7984469","47.7043447, 36.6784228","48.705179, 37.9922329",,,,,120.03254749005613
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.705179, 37.9922329","47.7043447, 36.6784228","48.0464243, 37.7984469",,,,,120.03254749005613
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","47.7043447, 36.6784228","47.7043447, 36.6784228","48.705179, 37.9922329",120.03254749005613
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.705179, 37.9922329","47.7348026, 37.2737004","48.6790228, 37.939907",,,,,118.23412458779802
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.6790228, 37.939907","47.7348026, 37.2737004","48.705179, 37.9922329",,,,,118.23412458779802
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.6790228, 37.939907","47.7043447, 36.6784228","48.0464243, 37.7984469",,,,,117.66656121589241
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.0464243, 37.7984469","47.7043447, 36.6784228","48.6790228, 37.939907",,,,,117.66656121589241
"153-й танковий полк зі складу 47-ї ТД, 1-ї ТА /// 153rd Tank Regiment from the 47th TD, 1st TA ",,,,"49.752967, 38.229591","49.752967, 38.229591","50.3941288, 36.9311201","50.3941288, 36.9311201",117.15628864455718
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7348026, 37.2737004","47.7348026, 37.2737004","48.6790228, 37.939907",,,,,116.08161006782439
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.6790228, 37.939907","48.6790228, 37.939907","47.7348026, 37.2737004",,,,,116.08161006782439
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7348026, 37.2737004","48.6790228, 37.939907","48.6790228, 37.939907",,,,,116.08161006782439
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.6790228, 37.939907","47.7348026, 37.2737004","47.7348026, 37.2737004",,,,,116.08161006782439
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7348026, 37.2737004","48.6790228, 37.939907","47.7348026, 37.2737004",,,,,116.08161006782439
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.6790228, 37.939907","47.7348026, 37.2737004","48.6790228, 37.939907",,,,,116.08161006782439
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.977954, 38.2121567","47.7043447, 36.6784228","47.7348026, 37.2737004",,,,,113.19900784475679
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","48.0464243, 37.7984469","48.705179, 37.9922329","47.7043447, 36.6784228",111.349567221225
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7043447, 36.6784228","48.705179, 37.9922329","48.0464243, 37.7984469",,,,,111.349567221225
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","48.705179, 37.9922329","48.705179, 37.9922329","48.0464243, 37.7984469",111.349567221225
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","48.705179, 37.9922329","47.7043447, 36.6784228","47.7043447, 36.6784228",111.349567221225
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","48.705179, 37.9922329","48.0464243, 37.7984469","48.0464243, 37.7984469",111.349567221225
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.0464243, 37.7984469","48.705179, 37.9922329","47.7043447, 36.6784228",,,,,111.349567221225
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","47.7043447, 36.6784228","48.705179, 37.9922329","48.0464243, 37.7984469",111.349567221225
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","48.705179, 37.9922329","48.705179, 37.9922329","47.7043447, 36.6784228",111.349567221225
26-й танковий полк зі складу 47-ї ТД /// 26th Tank Regiment from the 47th TD ,,,,"49.6499834, 37.9375705","49.6499834, 37.9375705","50.380672, 36.888271","50.380672, 36.888271",110.72927317365541
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","47.7043447, 36.6784228","48.0464243, 37.7984469","47.7043447, 36.6784228",110.69214683214484
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","48.0464243, 37.7984469","47.7043447, 36.6784228","48.705179, 37.9922329",110.69214683214484
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.977954, 38.2121567","48.0464243, 37.7984469","48.0464243, 37.7984469",,,,,108.00155913634407
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.0464243, 37.7984469","48.6790228, 37.939907","47.7043447, 36.6784228",,,,,107.22087925635977
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7043447, 36.6784228","48.6790228, 37.939907","48.0464243, 37.7984469",,,,,107.22087925635977
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","48.705179, 37.9922329","47.7043447, 36.6784228","48.0464243, 37.7984469",104.90349331959077
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","47.7043447, 36.6784228","48.705179, 37.9922329","48.0464243, 37.7984469",104.90349331959077
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","48.0464243, 37.7984469","47.7043447, 36.6784228","48.705179, 37.9922329",104.90349331959077
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","47.7043447, 36.6784228","48.0464243, 37.7984469","48.705179, 37.9922329",104.90349331959077
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","48.705179, 37.9922329","48.0464243, 37.7984469","47.7043447, 36.6784228",104.90349331959077
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","48.0464243, 37.7984469","48.705179, 37.9922329","47.7043447, 36.6784228",104.90349331959077
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.977954, 38.2121567","47.7348026, 37.2737004","48.0464243, 37.7984469",,,,,103.5455083420874
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.977954, 38.2121567","48.0464243, 37.7984469","47.7043447, 36.6784228",,,,,100.00645232633318
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.977954, 38.2121567","47.7348026, 37.2737004","47.7043447, 36.6784228",,,,,99.7664120592033
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","48.0464243, 37.7984469","48.705179, 37.9922329","47.7043447, 36.6784228",99.11483980703667
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","48.705179, 37.9922329","48.0464243, 37.7984469","48.705179, 37.9922329",99.11483980703667
228-й мотострілецький полк (зі складу 90 тд)///228th motorizedrifle regiment (from the composition of 90 TD),"48.9885356, 38.1339651","48.9885356, 38.1339651","48.1492056, 37.7486256",,,,,97.57066769477325
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7348026, 37.2737004","48.705179, 37.9922329","48.0464243, 37.7984469",,,,,97.51601204321584
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.0464243, 37.7984469","48.705179, 37.9922329","47.7348026, 37.2737004",,,,,97.51601204321584
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.705179, 37.9922329","47.7043447, 36.6784228","47.7348026, 37.2737004",,,,,96.4224232698518
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7348026, 37.2737004","47.7043447, 36.6784228","48.705179, 37.9922329",,,,,96.4224232698518
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7348026, 37.2737004","47.7043447, 36.6784228","48.6790228, 37.939907",,,,,94.05643699568809
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.6790228, 37.939907","47.7043447, 36.6784228","47.7348026, 37.2737004",,,,,94.05643699568809
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7348026, 37.2737004","48.6790228, 37.939907","48.0464243, 37.7984469",,,,,93.60079583254068
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.0464243, 37.7984469","48.6790228, 37.939907","47.7348026, 37.2737004",,,,,93.60079583254068
71-й гвардійський мотострілецький полк /// 71st Guards Motorized Rifle Regiment ,,,,"51.3242788, 35.2240332","51.3242788, 35.2240332","51.3242788, 35.2240332","51.7586161, 36.3773806",93.47458080923963
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.0464243, 37.7984469","47.7043447, 36.6784228","47.7043447, 36.6784228",,,,,92.01134551632228
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7043447, 36.6784228","48.0464243, 37.7984469","48.0464243, 37.7984469",,,,,92.01134551632228
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7043447, 36.6784228","48.0464243, 37.7984469","47.7043447, 36.6784228",,,,,92.01134551632228
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7043447, 36.6784228","47.7043447, 36.6784228","48.0464243, 37.7984469",,,,,92.01134551632228
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","48.0464243, 37.7984469","47.7043447, 36.6784228","48.0464243, 37.7984469",92.01134551632228
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.0464243, 37.7984469","48.0464243, 37.7984469","47.7043447, 36.6784228",,,,,92.01134551632228
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.0464243, 37.7984469","47.7043447, 36.6784228","48.0464243, 37.7984469",,,,,92.01134551632228
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","47.7043447, 36.6784228","48.0464243, 37.7984469","47.7043447, 36.6784228",92.01134551632228
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","47.7043447, 36.6784228","47.7043447, 36.6784228","48.0464243, 37.7984469",92.01134551632228
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","48.0464243, 37.7984469","48.0464243, 37.7984469","47.7043447, 36.6784228",92.01134551632228
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","48.0464243, 37.7984469","47.7043447, 36.6784228","47.7043447, 36.6784228",92.01134551632228
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","48.0464243, 37.7984469","48.0464243, 37.7984469","48.0464243, 37.7984469",92.01134551632228
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","47.7043447, 36.6784228","48.0464243, 37.7984469","48.0464243, 37.7984469",92.01134551632228
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","47.7043447, 36.6784228","47.7043447, 36.6784228","47.7043447, 36.6784228",92.01134551632228
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","48.0464243, 37.7984469","48.0464243, 37.7984469","47.7043447, 36.6784228",92.01134551632228
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","47.7043447, 36.6784228","48.0464243, 37.7984469","48.0464243, 37.7984469",92.01134551632228
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","47.7043447, 36.6784228","47.7043447, 36.6784228","48.0464243, 37.7984469",92.01134551632228
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","48.0464243, 37.7984469","47.7043447, 36.6784228","47.7043447, 36.6784228",92.01134551632228
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","48.0464243, 37.7984469","47.7043447, 36.6784228","48.0464243, 37.7984469",92.01134551632227
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","47.7043447, 36.6784228","48.0464243, 37.7984469","47.7043447, 36.6784228",92.01134551632227
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.977954, 38.2121567","48.0464243, 37.7984469","48.705179, 37.9922329",,,,,91.32347205750204
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.977954, 38.2121567","48.705179, 37.9922329","47.7043447, 36.6784228",,,,,91.20808512132587
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.977954, 38.2121567","48.6790228, 37.939907","47.7043447, 36.6784228",,,,,91.05592051550197
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.977954, 38.2121567","48.0464243, 37.7984469","48.6790228, 37.939907",,,,,89.56077036680053
128-ма окрема мотострілецька бригада /// 128th Separate Guards Motor Rifle Brigade ,,,,"50.4875759, 35.6687831","50.4875759, 35.6687831","50.311622, 36.8899767","50.311622, 36.8899767",89.00411697401104
1442 мотострілецький полк (в/ч 95383)///1442 motorized rifle regiment (military unit 95383),"48.5258236, 37.9988865","47.7976313, 37.5319372","47.7976313, 37.5319372",,,,,88.10658362083856
15-й гвардійський мотострілковий полк ///15th Guards Motor Rifle Regiment,"49.7715962, 37.7634578","49.6272879, 39.033747","49.600375, 37.8946215",,,,,87.70549657671665
1-й гвардійський мотострілковий полк ///1st Guards Motor Rifle Regiment,"49.7367152, 37.8750381","49.5793507, 39.0588093","49.5793507, 39.0588093",,,,,87.24447399939518
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.705179, 37.9922329","47.7348026, 37.2737004","48.0464243, 37.7984469",,,,,86.36796437472674
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.0464243, 37.7984469","47.7348026, 37.2737004","48.705179, 37.9922329",,,,,86.36796437472674
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","48.0464243, 37.7984469","47.7043447, 36.6784228","48.0464243, 37.7984469",86.2226920037682
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","47.7043447, 36.6784228","48.0464243, 37.7984469","48.705179, 37.9922329",86.2226920037682
25-та окрема мотострілецька бригада /// 25th Separate Guards Motor Rifle Brigade ,,,,"49.7890211, 37.7414998","49.7890211, 37.7414998","50.3294752, 36.8942065","50.3294752, 36.8942065",85.40946990913564
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.0464243, 37.7984469","47.7348026, 37.2737004","48.6790228, 37.939907",,,,,84.2154498547531
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.6790228, 37.939907","47.7348026, 37.2737004","48.0464243, 37.7984469",,,,,84.2154498547531
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","48.705179, 37.9922329","48.0464243, 37.7984469","47.7043447, 36.6784228",83.32836524749115
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","48.0464243, 37.7984469","48.705179, 37.9922329","48.705179, 37.9922329",83.32836524749115
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","47.7043447, 36.6784228","48.0464243, 37.7984469","48.705179, 37.9922329",83.32836524749115
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.705179, 37.9922329","48.0464243, 37.7984469","47.7043447, 36.6784228",,,,,83.32836524749115
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7043447, 36.6784228","48.0464243, 37.7984469","48.705179, 37.9922329",,,,,83.32836524749115
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","48.0464243, 37.7984469","48.0464243, 37.7984469","47.7043447, 36.6784228",83.32836524749115
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","48.0464243, 37.7984469","47.7043447, 36.6784228","47.7043447, 36.6784228",83.32836524749115
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","48.0464243, 37.7984469","48.0464243, 37.7984469","48.705179, 37.9922329",83.32836524749115
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.705179, 37.9922329","47.7348026, 37.2737004","47.7043447, 36.6784228",,,,,82.58886809184264
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7043447, 36.6784228","47.7348026, 37.2737004","48.705179, 37.9922329",,,,,82.58886809184264
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.6790228, 37.939907","48.0464243, 37.7984469","47.7043447, 36.6784228",,,,,81.56566355678963
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7043447, 36.6784228","48.0464243, 37.7984469","48.6790228, 37.939907",,,,,81.56566355678963
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.6790228, 37.939907","47.7348026, 37.2737004","47.7043447, 36.6784228",,,,,80.436353571869
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7043447, 36.6784228","47.7348026, 37.2737004","48.6790228, 37.939907",,,,,80.436353571869
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","48.0464243, 37.7984469","48.705179, 37.9922329","48.0464243, 37.7984469",80.43403849121411
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","48.705179, 37.9922329","48.0464243, 37.7984469","47.7043447, 36.6784228",80.43403849121411
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.977954, 38.2121567","48.0464243, 37.7984469","47.7348026, 37.2737004",,,,,80.17542438901296
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.977954, 38.2121567","48.6790228, 37.939907","47.7348026, 37.2737004",,,,,77.43583709168288
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.977954, 38.2121567","48.705179, 37.9922329","47.7348026, 37.2737004",,,,,77.3745299433167
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.6790228, 37.939907","48.705179, 37.9922329","47.7043447, 36.6784228",,,,,76.44041746057769
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7043447, 36.6784228","48.705179, 37.9922329","48.6790228, 37.939907",,,,,76.44041746057769
"26-й танковий полк зі складу 47-ї ТД, 1-ї ТА /// 26th Tank Regiment from the 47th TD, 1st TA","49.6750732, 37.9437321","49.5932498, 38.9874138",,,,,,75.94044947660025
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","48.705179, 37.9922329","48.0464243, 37.7984469","48.705179, 37.9922329",74.64538497866002
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","48.705179, 37.9922329","48.0464243, 37.7984469","48.0464243, 37.7984469",74.64538497866002
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.0464243, 37.7984469",74.64538497866002
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","48.0464243, 37.7984469","48.0464243, 37.7984469","48.705179, 37.9922329",74.64538497866002
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","48.705179, 37.9922329","48.705179, 37.9922329","48.0464243, 37.7984469",74.64538497866002
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","48.705179, 37.9922329","48.0464243, 37.7984469","48.705179, 37.9922329",74.64538497866002
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329",74.64538497866002
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","48.705179, 37.9922329","48.0464243, 37.7984469","48.0464243, 37.7984469",74.64538497866002
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","48.0464243, 37.7984469","48.705179, 37.9922329","48.705179, 37.9922329",74.64538497866002
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","48.0464243, 37.7984469","48.705179, 37.9922329","48.0464243, 37.7984469",74.64538497866002
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","48.0464243, 37.7984469","48.0464243, 37.7984469","48.0464243, 37.7984469",74.64538497866002
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","48.0464243, 37.7984469","48.0464243, 37.7984469","48.705179, 37.9922329",74.64538497866002
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.0464243, 37.7984469","48.705179, 37.9922329","48.705179, 37.9922329",,,,,74.64538497866002
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.0464243, 37.7984469","48.705179, 37.9922329","48.0464243, 37.7984469",,,,,74.64538497866002
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.0464243, 37.7984469","48.0464243, 37.7984469","48.705179, 37.9922329",,,,,74.64538497866002
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","48.0464243, 37.7984469","48.705179, 37.9922329","48.705179, 37.9922329",74.64538497866002
