Militaire eenheid,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-02,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-02,2024-05-02,2024-06-01,2024-07-01,2024-08-01,2024-09-01,Totale beweging (km),Aantal bewegingen
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469",1964.3093175920708,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913",1964.3093175920708,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","47.7043447, 36.6784228",1962.004288600937,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"47.7043447, 36.6784228","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913",1962.0042886009367,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913",1919.5176821253253,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329",1919.5176821253249,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913",1874.726046658579,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","48.0464243, 37.7984469",1874.726046658579,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","47.7043447, 36.6784228",1872.4210176674449,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"47.7043447, 36.6784228","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913",1872.4210176674446,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"47.7043447, 36.6784228","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913",1872.4210176674446,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","47.7043447, 36.6784228",1872.4210176674446,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"47.7043447, 36.6784228","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329",1827.0011286576373,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","47.7043447, 36.6784228",1827.0011286576373,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","47.7043447, 36.6784228","46.7220121, 33.2306913",1825.3243532095646,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","46.7220121, 33.2306913","47.7043447, 36.6784228","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913",1825.3243532095644,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","47.7043447, 36.6784228","46.7220121, 33.2306913","48.705179, 37.9922329",1825.3243532095644,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"46.7220121, 33.2306913","47.7043447, 36.6784228","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329",1825.3243532095644,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"47.7043447, 36.6784228","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913",1782.8377467339528,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","47.7043447, 36.6784228",1782.8377467339526,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"47.7043447, 36.6784228","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469",1782.2094931908914,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","47.7043447, 36.6784228",1782.2094931908912,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"46.7220121, 33.2306913","47.7043447, 36.6784228","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469",1780.5327177428185,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","47.7043447, 36.6784228","46.7220121, 33.2306913",1780.5327177428185,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","47.7043447, 36.6784228","46.7220121, 33.2306913","48.0464243, 37.7984469",1780.5327177428185,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","47.7043447, 36.6784228","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913",1780.5327177428182,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","48.0464243, 37.7984469",1753.5927641725075,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.0464243, 37.7984469","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329",1753.5927641725073,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","47.7043447, 36.6784228",1737.4178577241453,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"47.7043447, 36.6784228","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329",1737.417857724145,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","47.7043447, 36.6784228","46.7220121, 33.2306913",1735.7410822760726,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","46.7220121, 33.2306913","47.7043447, 36.6784228","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913",1735.7410822760726,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","47.7043447, 36.6784228","46.7220121, 33.2306913","48.705179, 37.9922329",1735.7410822760723,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"46.7220121, 33.2306913","47.7043447, 36.6784228","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329",1735.7410822760721,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"47.7043447, 36.6784228","48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329",1726.1670892434236,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469","47.7043447, 36.6784228",1726.1670892434236,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","48.0464243, 37.7984469","46.7220121, 33.2306913",1708.8011287057616,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469","48.705179, 37.9922329","46.7220121, 33.2306913",1708.8011287057614,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"46.7220121, 33.2306913","48.705179, 37.9922329","48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913",1708.8011287057614,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469","48.705179, 37.9922329",1708.8011287057614,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","48.0464243, 37.7984469",1708.8011287057614,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329",1708.8011287057614,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"46.7220121, 33.2306913","48.0464243, 37.7984469","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913",1708.8011287057611,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.0464243, 37.7984469","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469",1708.8011287057611,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329",1708.8011287057611,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329",1708.8011287057611,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"47.7043447, 36.6784228","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","48.0464243, 37.7984469",1692.6262222573991,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","47.7043447, 36.6784228",1692.626222257399,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","47.7043447, 36.6784228","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913",1690.9494468093262,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"46.7220121, 33.2306913","47.7043447, 36.6784228","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","48.0464243, 37.7984469",1690.9494468093262,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","47.7043447, 36.6784228","46.7220121, 33.2306913",1690.9494468093262,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","47.7043447, 36.6784228","46.7220121, 33.2306913","48.0464243, 37.7984469",1690.9494468093262,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","47.7043447, 36.6784228","48.705179, 37.9922329",1690.321193266265,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","47.7043447, 36.6784228","46.7220121, 33.2306913","48.705179, 37.9922329",1690.321193266265,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","47.7043447, 36.6784228","46.7220121, 33.2306913",1690.321193266265,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"47.7043447, 36.6784228","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","47.7043447, 36.6784228",1690.321193266265,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"46.7220121, 33.2306913","47.7043447, 36.6784228","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913",1690.3211932662648,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","47.7043447, 36.6784228","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329",1690.3211932662648,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","46.7220121, 33.2306913","47.7043447, 36.6784228","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329",1690.3211932662648,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"47.7043447, 36.6784228","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","47.7043447, 36.6784228",1690.3211932662648,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"46.7220121, 33.2306913","48.705179, 37.9922329","47.7043447, 36.6784228","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913",1690.3211932662648,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","47.7043447, 36.6784228","48.705179, 37.9922329","46.7220121, 33.2306913",1690.3211932662648,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","47.7043447, 36.6784228","46.7220121, 33.2306913","47.7043447, 36.6784228",1688.644417818192,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"46.7220121, 33.2306913","47.7043447, 36.6784228","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","47.7043447, 36.6784228",1688.644417818192,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"47.7043447, 36.6784228","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","47.7043447, 36.6784228","46.7220121, 33.2306913",1688.644417818192,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"47.7043447, 36.6784228","46.7220121, 33.2306913","47.7043447, 36.6784228","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913",1688.6444178181919,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"47.7043447, 36.6784228","48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469",1681.3754537766777,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469","47.7043447, 36.6784228",1681.3754537766777,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329",1678.9473791938474,5
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","48.705179, 37.9922329","46.7220121, 33.2306913",1678.9473791938474,5
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"46.7220121, 33.2306913","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913",1678.9473791938474,5
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"46.7220121, 33.2306913","48.705179, 37.9922329","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913",1678.9473791938474,5
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","46.7220121, 33.2306913","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329",1678.9473791938474,5
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","46.7220121, 33.2306913",1678.9473791938474,5
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","48.705179, 37.9922329",1678.9473791938474,5
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","46.7220121, 33.2306913","48.705179, 37.9922329",1678.9473791938474,5
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913",1678.9473791938474,5
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329",1678.9473791938474,5
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","48.0464243, 37.7984469",1664.0094932390155,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469","48.705179, 37.9922329",1664.0094932390155,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.0464243, 37.7984469","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329",1664.0094932390152,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469",1664.0094932390152,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","48.0464243, 37.7984469","46.7220121, 33.2306913","48.0464243, 37.7984469",1664.0094932390152,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329",1664.0094932390152,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","48.0464243, 37.7984469","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329",1664.0094932390152,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469",1664.0094932390152,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","47.7043447, 36.6784228","46.7220121, 33.2306913","48.705179, 37.9922329",1645.529557799519,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","46.7220121, 33.2306913","47.7043447, 36.6784228","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469",1645.529557799519,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","47.7043447, 36.6784228","48.705179, 37.9922329",1645.529557799519,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","47.7043447, 36.6784228","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469",1645.529557799519,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","47.7043447, 36.6784228","46.7220121, 33.2306913","48.0464243, 37.7984469",1645.529557799519,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","47.7043447, 36.6784228","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329",1645.5295577995187,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","48.0464243, 37.7984469","47.7043447, 36.6784228",1636.5838183099318,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"47.7043447, 36.6784228","48.0464243, 37.7984469","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329",1636.5838183099313,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","47.7043447, 36.6784228","48.0464243, 37.7984469",1634.2787893187974,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.0464243, 37.7984469","47.7043447, 36.6784228","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329",1634.2787893187972,6
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","46.7220121, 33.2306913","48.0464243, 37.7984469",1634.1557437271013,5
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469",1634.1557437271013,5
"shoigists ""storm-z""",,,,,,,,,,,,,,,,,,,,,,,,"48.705179, 37.9922329","46.7220121, 33.2306913","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469",1634.1557437271013,5
