Militaire eenheid,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01
40-а окрема морська піхотна бригада,"47.316108, 37.4879821",,,,,,,
40th Separate Marine Infantry Brigade,,"48.6208258, 38.3172295","48.6208258, 38.3172295","48.6208258, 38.3172295","48.6208258, 38.3172295",,,
423-й гвардійський мотострілецький полк,"49.133532, 37.1200254",,,,,,,
423rd Guards Motorized Rifle Regiment,,"49.6643772, 37.5746166","49.6643772, 37.5746166","49.6643772, 37.5746166","49.6643772, 37.5746166",,,
429th Motorized Rifle Regiment,,,,,,"47.4484105, 35.2776047","47.4484105, 35.2776047","47.4484105, 35.2776047"
429-й танковий полк,"47.3368541, 35.2336653",,,,,,,
429th Tank Regiment,,"47.4484105, 35.2776047","47.4484105, 35.2776047","47.4484105, 35.2776047","47.4484105, 35.2776047",,,
439th Guards Rocket Artillery Brigade,,,,,,"46.6092753, 32.7248911","46.6092753, 32.7248911","46.6092753, 32.7248911"
5th Separate Guards Tank Brigade,,"49.2423712, 37.277124","49.2423712, 37.277124","49.2423712, 37.277124","49.2423712, 37.277124",,,
5th Separate Motorized Rifle Brigade (DPR),,"48.0538811, 37.7752793","48.0538811, 37.7752793","48.0538811, 37.7752793","48.0538811, 37.7752793",,,
5th Combined Arms Army,,,,,,"46.9185125, 33.155228",,
503-й мотострілецький полк,"47.4238576, 35.2528876",,,,,,,
503rd Motorized Rifle Regiment,,,,,,"47.4842787, 36.2388276","47.4842787, 36.2388276","47.4842787, 36.2388276"
55-а окрема мотострілецька бригада,"49.1737867, 37.930513",,,,,,,
55th Separate Motorized Rifle Brigade,,"48.999612, 38.1085223","48.999612, 38.1085223","48.999612, 38.1085223","48.999612, 38.1085223",,,
56-й гвардійський десантно-штурмовий полк,"46.7437365, 32.6233008",,,,,,,
56th Guards Assault Regiment,,"46.6860661, 32.5065677","46.6860661, 32.5065677","46.6860661, 32.5065677","46.6860661, 32.5065677",,,
57-а окрема мотострілецька бригада,"49.2709608, 38.9131628",,,,,,,
57th Separate Motorized Rifle Brigade,,"48.6279132, 38.3774896","48.6279132, 38.3774896","48.6279132, 38.3774896","48.6279132, 38.3774896",,,
6th Separate Motorized Rifle Regiment (LNR),,,,,,"48.6814403, 38.1955305","48.6814403, 38.1955305","48.6814403, 38.1955305"
6th Separate Motorized Rifle Regiment (LPR),,"48.5379146, 38.4682374","48.5379146, 38.4682374","48.5379146, 38.4682374","48.5379146, 38.4682374",,,
60-а окрема мотострілецька бригада,"48.196717, 37.9630896",,,,,,,
60th Separate Motorized Rifle Brigade,,"48.1500167, 37.8697108","48.1500167, 37.8697108","48.1500167, 37.8697108","48.1500167, 37.8697108",,,
61st Separate Naval Infantry Brigade,,"48.0032204, 37.7420226","48.0032204, 37.7420226","48.0032204, 37.7420226","48.0032204, 37.7420226",,,
64-а окрема мотострілецька бригада,"49.1568197, 37.2372822",,,,,,,
64th Separate Motorized Rifle Brigade,,"49.1774717, 37.2506708","49.178145, 37.2602838","49.178145, 37.2602838","49.178145, 37.2602838",,,
68-й танковий полк,"48.6265848, 38.5309782",,,,,,,
68th Panzer Regiment,,"49.1170728, 38.9154543","49.1170728, 38.9154543","49.1170728, 38.9154543","49.1170728, 38.9154543",,,
7th Separate Motorized Rifle Brigade (DPR),,,,,,"48.3471638, 37.9962365","48.3471638, 37.9962365","48.3471638, 37.9962365"
