Militaire eenheid,2024-01-01,2024-02-01,2024-03-01,2024-04-02,2024-05-02,2024-06-01,2024-07-01,2024-08-01,2024-09-01
488th Motor Rifle Regiment (from the composition of 144 MRD),,,,"49.0822349, 38.0689108","49.0822349, 38.0689108","49.0822349, 38.0689108","49.0822349, 38.0689108","49.240731, 38.0634144","51.0782083, 35.7276991"
5nd squad BARS,,,,"49.473927, 37.969827","49.473927, 37.969827","49.473927, 37.969827","49.473927, 37.969827","49.473927, 37.969827","49.473927, 37.969827"
"5th separate motorized rifle brigade ""Oplot""",,,,"47.9605475, 37.5063303","47.9842229, 37.5277885","47.9842229, 37.5277885","47.9842229, 37.5277885","47.9842229, 37.5277885","47.9842229, 37.5277885"
5th separate tank brigade,,,,"47.7098525, 36.8443947","47.7098525, 36.8443947","47.7098525, 36.8443947","47.7098525, 36.8443947","47.7558038, 36.8164135","47.7558038, 36.8164135"
503rd Motorized Rifle Regiment,,,,"47.4997918, 35.6898788","47.4997918, 35.6898788","47.4997918, 35.6898788","47.4997918, 35.6898788","47.4997918, 35.6898788","47.4997918, 35.6898788"
51st motorized rifle regiment,,,,"48.7874535, 38.2793011","48.7874535, 38.2793011","48.7874535, 38.2793011","48.7874535, 38.2793011","48.7874535, 38.2793011","48.7874535, 38.2793011"
51th Guards Airborne Regiment rom the 106th Airborne Division,,,,"48.7343168, 38.1692199","48.7259377, 38.0964357","48.7259377, 38.0964357","48.7259377, 38.0964357","48.7259377, 38.0964357","48.7259377, 38.0964357"
55th Mountain Motor Rifle Brigade,,,,"48.1190098, 37.7785614","48.2316515, 37.623717","48.224447, 37.6117008","48.221016, 37.6003712","48.2642311, 37.6202834","48.237941, 37.474372"
56th Air Assault Regiment,,,,"47.4874913, 35.9757571","47.4874913, 35.9757571","47.4874913, 35.9757571","47.4874913, 35.9757571","47.4874913, 35.9757571","51.3449048, 34.7255677"
59th tank regiment (from the composition of 144 MRD),,,,"49.1926566, 38.117422","49.1926566, 38.117422","49.1926566, 38.117422","49.1926566, 38.117422","49.1926566, 38.117422","49.1926566, 38.117422"
6th Separate Motorized Rifle Regiment (LNR),,,,"48.693, 38.0750241","48.693, 38.0750241","48.693, 38.0750241","48.693, 38.0750241","48.693, 38.0750241","48.693, 38.0750241"
6th Separate Guards Motor Rifle Brigade,,,,"48.9518747, 38.2634268","48.8706423, 38.2534669","48.8706423, 38.2534669","48.8706423, 38.2534669","48.8706423, 38.2534669","48.8706423, 38.2534669"
64th Separate Motorized Rifle Brigade,,,,"47.5772985, 36.2514076","47.5772985, 36.2514076","47.5772985, 36.2514076","47.5772985, 36.2514076","47.5772985, 36.2514076","51.6065097, 35.7910393"
69th Separate Motorized Rifle Brigade,,,,"47.5624737, 36.111335","47.5624737, 36.111335","47.5624737, 36.111335","47.5624737, 36.111335","47.5624737, 36.111335","47.5624737, 36.111335"
"7st Air Assault Brigade ""saint heorhiy""",,,,,"48.6077232, 37.9087719","48.6077232, 37.9087719","48.6077232, 37.9087719","48.6077232, 37.9087719","48.6077232, 37.9087719"
7th separate reconnaissance battalion  from the 47th TD,,,,"49.0111001, 38.1513187","49.0111001, 38.1513187","49.0111001, 38.1513187","49.0111001, 38.1513187","49.0111001, 38.1513187","49.0111001, 38.1513187"
7th Airborne Assault Division,,,,"47.3221302, 35.6115315","47.3221302, 35.6115315","47.3221302, 35.6115315","47.3221302, 35.6115315","47.3221302, 35.6115315","47.3221302, 35.6115315"
70th motorized rifle regiment,,,,"47.4074157, 35.8418784","47.4074157, 35.8418784","47.4074157, 35.8418784","47.4074157, 35.8418784","47.4074157, 35.8418784","47.4074157, 35.8418784"
71st Guards Motorized Rifle Regiment,,,,"47.4190867, 35.8264522","47.4190867, 35.8264522","51.3242788, 35.2240332","51.3242788, 35.2240332","51.3242788, 35.2240332","51.7586161, 36.3773806"
72nd separate motorized rifle brigade,,,,"48.514907, 37.9948626","48.5543494, 37.9663669","48.5543494, 37.9663669","48.5543494, 37.9663669","48.5543494, 37.9663669","50.3191198, 36.7073369"
74th Separate Guards Motor Rifle Brigade,,,,"48.1854028, 38.0184387","48.2201837, 37.6249904","48.2201837, 37.6249904","48.2201837, 37.6249904","48.2519696, 37.6239598","48.2519696, 37.6239598"
752nd motorized rifle regiment,,,,"49.2242034, 38.0569158","49.3607861, 37.9765935","49.3607861, 37.9765935","49.3607861, 37.9765935","49.3607861, 37.9765935","49.3607861, 37.9765935"
78th motorized rifle regiment,,,,"47.379702, 35.7955616","47.379702, 35.7955616","47.379702, 35.7955616","47.379702, 35.7955616","47.379702, 35.7955616","47.379702, 35.7955616"
79th Guards Motorized Rifle Regiment,,,,"49.8827767, 37.9143729","49.8827767, 37.9143729","49.8827767, 37.9143729","49.8827767, 37.9143729","49.8827767, 37.9143729","49.8827767, 37.9143729"
80th Guards Tank Red Banner Regiment,,,,"48.2097032, 37.9768161","48.2097032, 37.9768161","50.3601207, 36.8200759","48.1113747, 37.5845753",,
"The 80th separate intelligence battalion ""Sparta"" named Fried Cock",,,,"48.1046472, 37.6308832","48.1046472, 37.6308832","48.1046472, 37.6308832","48.1046472, 37.6308832","48.1046472, 37.6308832","48.1046472, 37.6308832"
81th self-propelled artillery regiment,,,,"46.7143212, 33.1577509","46.7143212, 33.1577509","46.7143212, 33.1577509","46.7143212, 33.1577509","46.7143212, 33.1577509","46.7143212, 33.1577509"
810th Naval Infantry Brigade,,,,"46.706277, 33.0183839","46.706277, 33.0183839","46.706277, 33.0183839","46.3055892, 33.619808","48.145369, 37.7559079","51.5020469, 35.1395981"
82nd Detached Guards Motorized Rifle Battalion,,,,"46.826183, 29.470501","46.826183, 29.470501","46.826183, 29.470501","46.826183, 29.470501","46.826183, 29.470501","46.826183, 29.470501"
83rd Separate Guards Air Assault Brigade,,,,"46.7260672, 36.3492214","48.5129936, 37.9946359","48.5129936, 37.9946359","48.5129936, 37.9946359","50.3025128, 36.9230279","50.3025128, 36.9230279"
856th self-propelled artillery regiment (from the composition of 144 MRD),,,,"49.1446204, 38.2664232","49.1446204, 38.2664232","49.1446204, 38.2664232","49.1446204, 38.2664232","49.1446204, 38.2664232","49.1446204, 38.2664232"
9th motorized rifle regiment under the 18th MRD,,,,"48.6562599, 37.9968063","48.6562599, 37.9968063","48.6562599, 37.9968063","48.6562599, 37.9968063","48.6562599, 37.9968063","48.6562599, 37.9968063"
9th Guards Artillery Brigade,,,,"49.8557812, 37.7722369","49.8557812, 37.7722369","49.8557812, 37.7722369","49.8557812, 37.7722369","49.8557812, 37.7722369","49.8557812, 37.7722369"
90th tank division,,,,,"48.1399864, 37.6394201","48.1399864, 37.6394201","48.1638075, 37.6315234","48.1589983, 37.5779657","48.1617464, 37.587922"
96th Separate Rifle Regiment,,,,,"47.9271374, 37.5075515","47.9271374, 37.5075515","47.9271374, 37.5075515","47.9502523, 37.4744205","47.9502523, 37.4744205"
"BARS ""Kherson""",,,,"46.4397118, 32.7066963","46.4397118, 32.7066963","46.4397118, 32.7066963","46.4397118, 32.7066963","46.4397118, 32.7066963","46.4397118, 32.7066963"
11th squad BARS,,,,"47.2004098, 36.1893656","47.2004098, 36.1893656","47.2004098, 36.1893656","47.2004098, 36.1893656","47.2004098, 36.1893656","47.2004098, 36.1893656"
14th squad BARS,,,,"47.2146504, 36.1427281","47.2146504, 36.1427281","47.2146504, 36.1427281","47.2146504, 36.1427281","47.2146504, 36.1427281","47.2146504, 36.1427281"
"33rd squad BARS ""vosiliy morgeloff""",,,,"46.5687092, 32.9190527","46.5687092, 32.9190527","46.5687092, 32.9190527","46.5687092, 32.9190527","46.5687092, 32.9190527","46.5687092, 32.9190527"
3rd squad BARS,,,,"47.2072468, 36.1675519","47.2072468, 36.1675519","47.2072468, 36.1675519","47.2072468, 36.1675519","47.2072468, 36.1675519","47.2072468, 36.1675519"
4th squad BARS,,,,"46.6985142, 33.1571073","46.6985142, 33.1571073","46.6985142, 33.1571073","46.6985142, 33.1571073","46.6985142, 33.1571073","46.6985142, 33.1571073"
7nd squad BARS,,,,"48.9778451, 38.2759827","48.9778451, 38.2759827","48.9778451, 38.2759827","48.9778451, 38.2759827","48.9778451, 38.2759827","48.9778451, 38.2759827"
Volunteer assault corps,,,,"48.6363874, 37.9552289","48.6363874, 37.9552289","48.6363874, 37.9552289","48.6363874, 37.9552289","48.6363874, 37.9552289","48.6363874, 37.9552289"
"Air Assault Brigade ""Vitirany""",,,,"48.1137082, 37.766238","48.1137082, 37.766238","48.1137082, 37.766238","48.1137082, 37.766238","48.1137082, 37.766238","48.1137082, 37.766238"
Piatnashka Battalion,,,,"48.052507, 37.637531","48.052507, 37.637531","48.052507, 37.637531","48.052507, 37.637531","48.052507, 37.637531","51.1422544, 36.3175508"
"""Bashkortostan"" regiment",,,,"46.9214137, 36.8028315","46.9214137, 36.8028315","46.9214137, 36.8028315","46.9214137, 36.8028315","46.9214137, 36.8028315","46.9214137, 36.8028315"
"Rosguard unit ""Akhmat-East""",,,,"47.4214707, 35.6905887","47.4214707, 35.6905887","47.4214707, 35.6905887","47.4214707, 35.6905887","47.4214707, 35.6905887","47.4214707, 35.6905887"
"Rosguard unit ""Akhmat-Centre""",,,,"47.477664, 34.5266566","47.477664, 34.5266566","47.477664, 34.5266566","47.477664, 34.5266566","47.477664, 34.5266566","47.477664, 34.5266566"
"Rosguard unit ""Akhmat""",,,,"48.471055, 37.9641165","48.471055, 37.9641165","48.471055, 37.9641165","48.471055, 37.9641165","48.471055, 37.9641165","48.471055, 37.9641165"
"Rosguard unit ""Akhmat-South""",,,,"47.5122827, 34.5865599","47.5122827, 34.5865599","47.5122827, 34.5865599","47.5122827, 34.5865599","47.5122827, 34.5865599","47.5122827, 34.5865599"
Part 111th separate rifle regiment,,,,"48.041801, 37.699761","48.041801, 37.699761","48.041801, 37.699761","48.041801, 37.699761","48.041801, 37.699761","48.041801, 37.699761"
"shoigists ""storm-v""",,,,"48.4956467, 37.9847562","48.4956467, 37.9847562","48.4956467, 37.9847562","48.4924614, 38.0261266","48.4924614, 38.0261266","48.4924614, 38.0261266"
"shoigists ""storm-z""",,,,"48.6790228, 37.939907","48.6790228, 37.939907","48.6790228, 37.939907","48.6790228, 37.939907","48.6790228, 37.939907","48.6790228, 37.939907"
"shoigists ""storm-z""",,,,"48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329"
"shoigists ""storm-z""",,,,"48.705179, 37.9922329","48.0464243, 37.7984469","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329"
"shoigists ""storm-z""",,,,"48.705179, 37.9922329","47.7043447, 36.6784228","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329"
"shoigists ""storm-z""",,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329"
"shoigists ""storm-z""",,,,"48.0464243, 37.7984469","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329"
"shoigists ""storm-z""",,,,"48.0464243, 37.7984469","48.0464243, 37.7984469","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329"
"shoigists ""storm-z""",,,,"48.0464243, 37.7984469","47.7043447, 36.6784228","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329"
"shoigists ""storm-z""",,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329"
"shoigists ""storm-z""",,,,"47.7043447, 36.6784228","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329"
"shoigists ""storm-z""",,,,"47.7043447, 36.6784228","48.0464243, 37.7984469","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329"
"shoigists ""storm-z""",,,,"47.7043447, 36.6784228","47.7043447, 36.6784228","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329"
"shoigists ""storm-z""",,,,"47.7043447, 36.6784228","46.7220121, 33.2306913","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329"
"shoigists ""storm-z""",,,,"46.7220121, 33.2306913","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329"
"shoigists ""storm-z""",,,,"46.7220121, 33.2306913","48.0464243, 37.7984469","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329"
"shoigists ""storm-z""",,,,"46.7220121, 33.2306913","47.7043447, 36.6784228","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329"
"shoigists ""storm-z""",,,,"46.7220121, 33.2306913","46.7220121, 33.2306913","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329"
"shoigists ""storm-z""",,,,"48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.0464243, 37.7984469"
"shoigists ""storm-z""",,,,"48.705179, 37.9922329","48.0464243, 37.7984469","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.0464243, 37.7984469"
"shoigists ""storm-z""",,,,"48.705179, 37.9922329","47.7043447, 36.6784228","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.0464243, 37.7984469"
"shoigists ""storm-z""",,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.0464243, 37.7984469"
"shoigists ""storm-z""",,,,"48.0464243, 37.7984469","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.0464243, 37.7984469"
"shoigists ""storm-z""",,,,"48.0464243, 37.7984469","48.0464243, 37.7984469","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.0464243, 37.7984469"
"shoigists ""storm-z""",,,,"48.0464243, 37.7984469","47.7043447, 36.6784228","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.0464243, 37.7984469"
"shoigists ""storm-z""",,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.0464243, 37.7984469"
"shoigists ""storm-z""",,,,"47.7043447, 36.6784228","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.0464243, 37.7984469"
"shoigists ""storm-z""",,,,"47.7043447, 36.6784228","48.0464243, 37.7984469","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.0464243, 37.7984469"
"shoigists ""storm-z""",,,,"47.7043447, 36.6784228","47.7043447, 36.6784228","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.0464243, 37.7984469"
"shoigists ""storm-z""",,,,"47.7043447, 36.6784228","46.7220121, 33.2306913","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.0464243, 37.7984469"
"shoigists ""storm-z""",,,,"46.7220121, 33.2306913","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.0464243, 37.7984469"
"shoigists ""storm-z""",,,,"46.7220121, 33.2306913","48.0464243, 37.7984469","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.0464243, 37.7984469"
"shoigists ""storm-z""",,,,"46.7220121, 33.2306913","47.7043447, 36.6784228","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.0464243, 37.7984469"
"shoigists ""storm-z""",,,,"46.7220121, 33.2306913","46.7220121, 33.2306913","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.0464243, 37.7984469"
"shoigists ""storm-z""",,,,"48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","47.7043447, 36.6784228"
"shoigists ""storm-z""",,,,"48.705179, 37.9922329","48.0464243, 37.7984469","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","47.7043447, 36.6784228"
"shoigists ""storm-z""",,,,"48.705179, 37.9922329","47.7043447, 36.6784228","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","47.7043447, 36.6784228"
"shoigists ""storm-z""",,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","47.7043447, 36.6784228"
"shoigists ""storm-z""",,,,"48.0464243, 37.7984469","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","47.7043447, 36.6784228"
"shoigists ""storm-z""",,,,"48.0464243, 37.7984469","48.0464243, 37.7984469","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","47.7043447, 36.6784228"
"shoigists ""storm-z""",,,,"48.0464243, 37.7984469","47.7043447, 36.6784228","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","47.7043447, 36.6784228"
"shoigists ""storm-z""",,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","47.7043447, 36.6784228"
"shoigists ""storm-z""",,,,"47.7043447, 36.6784228","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","47.7043447, 36.6784228"
"shoigists ""storm-z""",,,,"47.7043447, 36.6784228","48.0464243, 37.7984469","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","47.7043447, 36.6784228"
"shoigists ""storm-z""",,,,"47.7043447, 36.6784228","47.7043447, 36.6784228","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","47.7043447, 36.6784228"
"shoigists ""storm-z""",,,,"47.7043447, 36.6784228","46.7220121, 33.2306913","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","47.7043447, 36.6784228"
"shoigists ""storm-z""",,,,"46.7220121, 33.2306913","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","47.7043447, 36.6784228"
"shoigists ""storm-z""",,,,"46.7220121, 33.2306913","48.0464243, 37.7984469","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","47.7043447, 36.6784228"
"shoigists ""storm-z""",,,,"46.7220121, 33.2306913","47.7043447, 36.6784228","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","47.7043447, 36.6784228"
"shoigists ""storm-z""",,,,"46.7220121, 33.2306913","46.7220121, 33.2306913","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","47.7043447, 36.6784228"
"shoigists ""storm-z""",,,,"48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","46.7220121, 33.2306913"
"shoigists ""storm-z""",,,,"48.705179, 37.9922329","48.0464243, 37.7984469","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","46.7220121, 33.2306913"
"shoigists ""storm-z""",,,,"48.705179, 37.9922329","47.7043447, 36.6784228","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","46.7220121, 33.2306913"
"shoigists ""storm-z""",,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","46.7220121, 33.2306913"
"shoigists ""storm-z""",,,,"48.0464243, 37.7984469","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","46.7220121, 33.2306913"
"shoigists ""storm-z""",,,,"48.0464243, 37.7984469","48.0464243, 37.7984469","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","46.7220121, 33.2306913"
"shoigists ""storm-z""",,,,"48.0464243, 37.7984469","47.7043447, 36.6784228","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","46.7220121, 33.2306913"
"shoigists ""storm-z""",,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","46.7220121, 33.2306913"
"shoigists ""storm-z""",,,,"47.7043447, 36.6784228","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","46.7220121, 33.2306913"
"shoigists ""storm-z""",,,,"47.7043447, 36.6784228","48.0464243, 37.7984469","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","46.7220121, 33.2306913"
"shoigists ""storm-z""",,,,"47.7043447, 36.6784228","47.7043447, 36.6784228","48.705179, 37.9922329","48.705179, 37.9922329","48.705179, 37.9922329","46.7220121, 33.2306913"
