Militaire eenheid,2024-01-01,2024-02-01,2024-03-01,2024-04-02,2024-05-02,2024-06-01,2024-07-01,2024-08-01,2024-09-01
1843rd motorized rifle battalion,,,,"49.8235871, 37.7794393","49.8235871, 37.7794393","49.8235871, 37.7794393","49.8235871, 37.7794393","49.8235871, 37.7794393","49.8235871, 37.7794393"
26th Tank Regiment,,,,"49.0711895, 38.0856281","49.0711895, 38.0856281","49.0711895, 38.0856281","49.0711895, 38.0856281","49.0711895, 38.0856281","49.0711895, 38.0856281"
2nd motorized rifle division from the 1st TA,,,,"49.723482, 37.938209","49.723482, 37.938209","49.723482, 37.938209","49.723482, 37.938209","49.723482, 37.938209","49.723482, 37.938209"
2nd battalion of territorial defense of the DPR,,,,"48.0365073, 37.5962037","48.0365073, 37.5962037","48.0365073, 37.5962037","48.0365073, 37.5962037","48.0365073, 37.5962037","48.0365073, 37.5962037"
2nd paratrooper battalion according to the 51st Parachute Regiment,,,,"48.686828, 38.989364","48.686828, 38.989364","48.686828, 38.989364","48.686828, 38.989364","48.686828, 38.989364","48.686828, 38.989364"
200th Separate Motor Rifle Brigade,,,,"48.6286982, 37.9561431","48.6286982, 37.9561431","48.6286982, 37.9561431","48.6286982, 37.9561431","48.6286982, 37.9561431","51.2513237, 36.2682932"
201st motorized rifle regiment,,,,"47.4024283, 35.9147812","47.4024283, 35.9147812","47.4024283, 35.9147812","47.4024283, 35.9147812","47.4024283, 35.9147812","47.4024283, 35.9147812"
205th Separate Motorized Rifle Brigade,,,,"45.7192186, 34.4189496","45.7192186, 34.4189496","45.7192186, 34.4189496","46.7377392, 33.3913018","46.7377392, 33.3913018","46.7377392, 33.3913018"
210th motorized rifle regiment,,,,"47.3998457, 35.8730818","47.3998457, 35.8730818","47.3998457, 35.8730818","47.3998457, 35.8730818","47.3998457, 35.8730818","47.3998457, 35.8730818"
217th Airborne Regiment from the 98th Airborne Division,,,,"48.6333067, 37.9119404","48.6228683, 37.9078204","48.6228683, 37.9078204","48.6228683, 37.9078204","48.6228683, 37.9078204","48.6228683, 37.9078204"
218st Tank Regiment,,,,"47.6900511, 36.8276231","47.6900511, 36.8276231","47.6900511, 36.8276231","47.6900511, 36.8276231","47.7487187, 36.8001582","47.7487187, 36.8001582"
22nd separate special purpose brigade,,,,"47.5043222, 36.0138139","47.5043222, 36.0138139","47.5043222, 36.0138139","47.5043222, 36.0138139","47.5043222, 36.0138139","47.5043222, 36.0138139"
227th Artillery Brigade,,,,"46.644692, 33.464353","46.644692, 33.464353","46.644692, 33.464353","46.644692, 33.464353","46.644692, 33.464353","46.644692, 33.464353"
228th motorizedrifle regiment (from the composition of 90 TD),,,,"48.1439367, 37.726653","48.1439367, 37.726653","48.1439367, 37.726653","48.1331688, 37.6658845","48.1331688, 37.6658845","48.1331688, 37.6658845"
234th Airborne Assault Regiment from the 76th Division,,,,"47.4584389, 35.7565904","47.4584389, 35.7565904","47.4584389, 35.7565904","47.4584389, 35.7565904","47.4584389, 35.7565904","47.4584389, 35.7565904"
237th tank regiment,,,,"49.2443744, 38.0302515","49.2443744, 38.0302515","49.2443744, 38.0302515","49.2443744, 38.0302515","49.2443744, 38.0302515","49.2443744, 38.0302515"
238th Artillery Brigade,,,,"48.056935, 37.705552","47.9995337, 37.5805846","47.9995337, 37.5805846","47.9995337, 37.5805846","47.9995337, 37.5805846","47.9995337, 37.5805846"
239th tank regiment (from the composition of 90 TD),,,,"48.2135192, 37.7919436","48.1449542, 37.6008849","48.1449542, 37.6008849","48.0143247, 37.8379514","48.1746114, 37.55883","48.1945263, 37.4867321"
